Seq,DateListed,縣市別代碼,鄉鎮市區代碼,縣市,鄉鎮市區,村里,鄰,部落傳統名制_羅馬拼音,部落名稱,X座標,Y座標,定位點,緯度,經度,族別
1,"20220725","65000","65000290","新北市","烏來區","忠治里","1~7","Tampya","忠治(桶壁)部","305498.888","2753073.108","新店分局忠治派出所","24.88429","121.5493","泰雅族"
2,"20220725","65000","65000290","新北市","烏來區","烏來里","1~15","Ulay","烏來部落","305970.318","2750747.51","烏來中小學","24.86327","121.5539","泰雅族"
3,"20220725","65000","65000290","新北市","烏來區","信賢里","1~9","Lahaw","信賢部落","303429.14","2748018.757","信賢種籽國小","24.83872","121.5286","泰雅族"
4,"20220725","65000","65000290","新北市","烏來區","福山里","1~6","Tranan","福山部落","300767.159","2741174.803","福山國小","24.77694","121.502","泰雅族"
5,"20220725","68000","68000130","桃園市","復興區","澤仁里","4~6","Rahaw","溪口台部落","285093.784","2744067.137","溪口公園","24.80359","121.3471","泰雅族"
6,"20220725","68000","68000130","桃園市","復興區","澤仁里","7~15","Pyasan","比雅山(角板山)部落","285475.997","2745386.995","介壽國小","24.81549","121.3509","泰雅族"
7,"20220725","68000","68000130","桃園市","復興區","澤仁里","16~17","Wsilung","詩朗部落","285812.918","2746009.496","三岔路口","24.82111","121.3543","泰雅族"
8,"20220725","68000","68000130","桃園市","復興區","澤仁里","18~20","Hbun","霞雲坪部落","285734.959","2744510.691","十字路口","24.80757","121.3535","泰雅族"
9,"20220725","68000","68000130","桃園市","復興區","羅浮里","1~2","Hbun-sinqumi","合流部落","287202.655","2744050.609","大溪分局溪內派出所","24.80339","121.368","泰雅族"
10,"20220725","68000","68000130","桃園市","復興區","羅浮里","3~5","Kinyawpan","羅浮部落","286843.125","2743343.156","羅浮國小","24.79701","121.3644","泰雅族"
11,"20220725","68000","68000130","桃園市","復興區","羅浮里","6","Rangay","斷匯部落","285522.925","2740146.608","羅浮國小高坡分校","24.76818","121.3513","泰雅族"
12,"20220725","68000","68000130","桃園市","復興區","羅浮里","7","Kawbu’","高坡部落","285555.386","2740089.259","北部橫貫公路","24.76766","121.3516","泰雅族"
13,"20220725","68000","68000130","桃園市","復興區","羅浮里","8","Khpan","大彎部落","284877.522","2739292.367","北部橫貫公路","24.76048","121.3449","泰雅族"
14,"20220725","68000","68000130","桃園市","復興區","高義里","1","Raka","上蘇樂部落","287880.523","2731911.734","北部橫貫公路","24.69377","121.3744","泰雅族"
15,"20220725","68000","68000130","桃園市","復興區","高義里","2","Tkasan","下蘇樂部落","287859.266","2732754.914","公路","24.70139","121.3742","泰雅族"
16,"20220725","68000","68000130","桃園市","復興區","高義里","3","Quri","下高義部落","286569.964","2733863.759","北部橫貫公路","24.71143","121.3615","泰雅族"
17,"20220725","68000","68000130","桃園市","復興區","高義里","4~5","Uruw","中高義部落","286460.936","2733887.769","高義國小","24.71165","121.3604","泰雅族"
18,"20220725","68000","68000130","桃園市","復興區","高義里","6","Kuli","上高義部落","285848.735","2733323.128","公路","24.70657","121.3543","泰雅族"
19,"20220725","68000","68000130","桃園市","復興區","高義里","7~8","Sbunaw","雪霧鬧部落","286992.344","2737190.135","三岔路口","24.74145","121.3657","泰雅族"
20,"20220725","68000","68000130","桃園市","復興區","高義里","9","Qehuy","內奎輝部落","283554.041","2737361.704","三岔路口","24.74308","121.3317","泰雅族"
21,"20220725","68000","68000130","桃園市","復興區","高義里","10","Raga’","楓香部落","285977.765","2738130.1","公路","24.74996","121.3557","泰雅族"
22,"20220725","68000","68000130","桃園市","復興區","高義里","11~12","Piyaway","比亞外部落","285842.1","2735542.46","里安長老教會","24.726583","121.35428","泰雅族"
23,"20220725","68000","68000130","桃園市","復興區","義盛里","1~3","Rahu’","下宇內（小烏來）部落","288363.433","2742682.011","義盛國小","24.791","121.3794","泰雅族"
24,"20220725","68000","68000130","桃園市","復興區","義盛里","4~5","Qapu’","卡普部落","289363.945","2743232.631","公路","24.79595","121.3893","泰雅族"
25,"20220725","68000","68000130","桃園市","復興區","義盛里","6","Qus","和平部落","288849.862","2742628.527","三岔路口","24.79051","121.3842","泰雅族"
26,"20220725","68000","68000130","桃園市","復興區","義盛里","7","Yubang","上宇內部落","289074.232","2742625.263","公路","24.79047","121.3864","泰雅族"
27,"20220725","68000","68000130","桃園市","復興區","義盛里","8","Triqan","大利幹部落","287367.932","2742204.416","三岔路口","24.78671","121.3696","泰雅族"
28,"20220725","68000","68000130","桃園市","復興區","義盛里","9~11","Zihing","義興部落","286991.398","2741079.397","三岔路口","24.77657","121.3658","泰雅族"
29,"20220725","68000","68000130","桃園市","復興區","三民里","2~5","Kayu-baliq","新村部落","284103.021","2746599.522","北部橫貫公路","24.82647","121.3374","泰雅族"
30,"20220725","68000","68000130","桃園市","復興區","三民里","6~9","Blhuy","枕頭山1部落","283967.374","2746368.005","枕頭山農莊","24.82438","121.336","泰雅族"
31,"20220725","68000","68000130","桃園市","復興區","三民里","10~12","Kzyay","水流東部落","283453.014","2747309.81","三民國小","24.8329","121.331","泰雅族"
32,"20220725","68000","68000130","桃園市","復興區","三民里","13~14","Tuba","大窩部落","284571.848","2748190.896","十字路口","24.84083","121.3421","泰雅族"
33,"20220725","68000","68000130","桃園市","復興區","三民里","15~19","Luhung","基國派部落","284605.836","2747877.761","基國產業道路","24.838","121.3424","泰雅族"
34,"20220725","68000","68000130","桃園市","復興區","奎輝里","1","Blhuy","枕頭山2部落","283727.636","2744034.695","公路","24.80332","121.3336","泰雅族"
35,"20220725","68000","68000130","桃園市","復興區","奎輝里","2","Qmocyan","下奎輝部落","283049.155","2743791.052","三岔路口","24.80114","121.3269","泰雅族"
36,"20220725","68000","68000130","桃園市","復興區","奎輝里","3~4","Babau","中奎輝部落","283836.489","2743355.217","奎輝國小","24.79719","121.3347","泰雅族"
37,"20220725","68000","68000130","桃園市","復興區","奎輝里","5~6","Qnau","上奎輝部落","282483.799","2741671.671","三岔路口","24.78202","121.3212","泰雅族"
38,"20220725","68000","68000130","桃園市","復興區","奎輝里","7~9","Ksunu'","嘎色鬧部落","282867.48","2740964.631","嘎色鬧獵人學校","24.77562","121.325","泰雅族"
39,"20220725","68000","68000130","桃園市","復興區","長興里","1","Bilus","石門部落","275203.865","2744262.903","三岔路口","24.80555","121.2493","泰雅族"
40,"20220725","68000","68000130","桃園市","復興區","長興里","5","Qoyaw","下高遶部落","279042.751","2743523.5","羅馬公路","24.7988","121.2873","泰雅族"
41,"20220725","68000","68000130","桃園市","復興區","長興里","6","Qoyaw","中高遶部落","278436.166","2743208.903","羅馬公路","24.79597","121.2813","泰雅族"
42,"20220725","68000","68000130","桃園市","復興區","長興里","7","Silong","喜龍部落","277482.564","2742770.463","三岔路口","24.79203","121.2718","泰雅族"
43,"20220725","68000","68000130","桃園市","復興區","長興里","8~9","Qoyaw","上高遶部落","278162.947","2742218.921","羅馬公路","24.78704","121.2785","泰雅族"
44,"20220725","68000","68000130","桃園市","復興區","長興里","14~17","Snazi","竹頭角部落","281078.283","2743609.48","長興國小","24.79954","121.3074","泰雅族"
45,"20220725","68000","68000130","桃園市","復興區","霞雲里","1","Kin‘lwan","金暖部落","288084.436","2744801.797","流霞道路","24.81015","121.3767","泰雅族"
46,"20220725","68000","68000130","桃園市","復興區","霞雲里","2~3","Sqiy","志繼部落","288592.621","2746072.176","三岔道路","24.8216","121.3818","泰雅族"
47,"20220725","68000","68000130","桃園市","復興區","霞雲里","4~5","Cyasi","佳志部落","291482.201","2747265.338","東眼山國家森林遊樂園","24.8323","121.4104","泰雅族"
48,"20220725","68000","68000130","桃園市","復興區","霞雲里","6","Yuwhbun raka","優霞雲部落","288760.912","2745536.791","霞雲國小","24.81677","121.3834","泰雅族"
49,"20220725","68000","68000130","桃園市","復興區","霞雲里","7","Kayway","卡外部落","289821.448","2746008.671","公路","24.821","121.3939","泰雅族"
50,"20220725","68000","68000130","桃園市","復興區","霞雲里","8~11","Qus","庫志部落","290025.753","2744305.289","庫志道路","24.80561","121.3959","泰雅族"
51,"20220725","68000","68000130","桃園市","復興區","三光里","1~2","Tgleq","鐵立庫部落","285929.324","2728393.954","復華道路","24.66206","121.355","泰雅族"
52,"20220725","68000","68000130","桃園市","復興區","三光里","3~4","Saruc","砂崙子部落","285666.221","2729242.783","桃113公路","24.66973","121.3524","泰雅族"
53,"20220725","68000","68000130","桃園市","復興區","三光里","5~7","Twan nokan","武道能敢部落","287164.055","2729703.326","三光國小","24.67385","121.3672","泰雅族"
