period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2016H2,68000,桃園,19119,1,桃園/新竹縣,4615,3833,0.730952,0.553816,0.16695,0.170592,0.150797,0.038458,0.359348,18.23972
2016H2,10004,新竹縣,15851,1,桃園/新竹縣,4391,3389,0.159524,0.498776,0.125749,0.113053,0.236503,0.032637,0.374889,18.911687
2016H2,65000,新北,7182,2,新北/臺北,4212,1740,0.028571,0.470271,0.127934,0.058657,0.17043,0.033338,0.400174,18.180498
2016H2,66000,臺中,8738,0,臺中/苗栗,2654,2510,0.211905,0.229221,0.090789,0.062579,0.076566,0.030151,0.327399,18.434525
2016H2,10005,苗栗,6201,0,臺中/苗栗,1820,1503,0.0,0.208646,0.065734,0.051323,0.06148,0.023686,0.438603,16.900049
2016H2,63000,臺北,2672,2,新北/臺北,1678,2448,0.0,0.208778,0.066278,0.108775,0.057608,0.024461,0.459582,17.73859
2016H2,10002,宜蘭,12498,2,新北/臺北,1638,2746,0.114286,0.191306,0.064264,0.091867,0.056856,0.028135,0.400075,17.773195
2016H2,10008,南投,5943,0,臺中/苗栗,1027,2010,0.0,0.107417,0.044623,0.059596,0.03101,0.02155,0.427909,17.66469
2016H2,10015,花蓮,2669,2,新北/臺北,794,2089,0.004762,0.092133,0.033403,0.065594,0.028979,0.02166,0.401821,17.42957
2016H2,64000,高雄,1290,0,臺中/苗栗,774,478,0.0,0.080519,0.034389,0.014635,0.025641,0.013946,0.360859,16.392637
2016H2,10018,新竹市,1164,1,桃園/新竹縣,708,2325,0.047619,0.116627,0.032541,0.157714,0.02922,0.014851,0.793211,17.624905
2016H2,10017,基隆,644,2,新北/臺北,365,319,0.0,0.043239,0.017771,0.011492,0.01408,0.01379,0.436734,14.363249
2016H2,67000,臺南,603,0,臺中/苗栗,354,198,0.0,0.037684,0.018694,0.006331,0.01173,0.010856,0.361888,14.325316
2016H2,10014,臺東,466,2,新北/臺北,289,175,0.0,0.030743,0.015452,0.005459,0.009928,0.011749,0.384704,13.275028
2016H2,10013,屏東,437,0,臺中/苗栗,287,198,0.0,0.032414,0.016718,0.006491,0.00984,0.010032,0.386678,16.385371
2016H2,10007,彰化,433,0,臺中/苗栗,268,209,0.0,0.026312,0.015363,0.006127,0.008197,0.009143,0.422032,16.529677
2016H2,10009,雲林,312,0,臺中/苗栗,225,116,0.0,0.022165,0.01384,0.004094,0.007177,0.009065,0.376951,13.503968
2016H2,10010,嘉義縣,194,0,臺中/苗栗,169,76,0.047619,0.016381,0.01345,0.002037,0.005002,0.007475,0.336511,12.660042
2016H2,09020,金門,114,1,桃園/新竹縣,104,7,0.0,0.012751,0.010465,0.000182,0.004005,0.005406,0.394924,12.583845
2016H2,10016,澎湖,67,0,臺中/苗栗,52,36,0.0,0.006507,0.008403,0.001105,0.002001,0.006031,0.386046,9.634674
2016H2,10020,嘉義市,74,0,臺中/苗栗,45,98,0.0,0.003719,0.009365,0.002088,0.001225,0.004608,0.345089,11.861374
2016H2,09007,連江,38,1,桃園/新竹縣,38,4,0.0,0.005126,0.007826,0.000209,0.001724,0.007191,0.506123,5.990198
