period,county_code,county_name,population,in_degree_w,out_degree_w,in_degree_norm,out_degree_norm,betweenness,eigenvector,clustering,community
2017H2,68000,桃園,19333,4834,3820,1.0,1.0,0.730952,0.562462,0.037086,2
2017H2,10004,新竹縣,15891,4468,3470,0.952381,1.0,0.159524,0.497174,0.031044,2
2017H2,65000,新北,7304,4221,1789,0.952381,0.952381,0.028571,0.464055,0.030328,1
2017H2,66000,臺中,8929,2678,2532,0.904762,1.0,0.242857,0.229368,0.028909,0
2017H2,10005,苗栗,6151,1818,1530,0.904762,0.952381,0.0,0.204958,0.02249,0
2017H2,63000,臺北,2745,1693,2495,0.952381,1.0,0.0,0.205521,0.023216,1
2017H2,10002,宜蘭,12587,1635,2827,0.904762,1.0,0.159524,0.188167,0.026837,1
2017H2,10008,南投,5923,1026,1991,0.904762,1.0,0.0,0.107096,0.020426,0
2017H2,10015,花蓮,2681,807,2050,0.904762,1.0,0.0,0.093106,0.020333,1
2017H2,64000,高雄,1325,777,490,0.952381,0.952381,0.0,0.07942,0.013345,0
2017H2,10018,新竹市,1234,755,2494,0.904762,0.952381,0.047619,0.123525,0.014487,2
2017H2,10017,基隆,652,369,321,0.714286,0.809524,0.0,0.042148,0.012352,1
2017H2,67000,臺南,625,360,203,0.809524,0.809524,0.0,0.038313,0.010373,0
2017H2,10014,臺東,487,303,181,0.714286,0.761905,0.0,0.033094,0.010684,1
2017H2,10013,屏東,439,287,198,0.857143,0.714286,0.0,0.032637,0.009447,0
2017H2,10007,彰化,457,279,218,0.809524,0.809524,0.0,0.026792,0.009007,0
2017H2,10009,雲林,316,227,121,0.809524,0.761905,0.0,0.022304,0.00781,0
2017H2,10010,嘉義縣,197,172,77,0.714286,0.761905,0.047619,0.016064,0.006353,0
2017H2,09020,金門,122,112,8,0.761905,0.333333,0.0,0.013335,0.005263,2
2017H2,10016,澎湖,71,55,37,0.47619,0.571429,0.0,0.006701,0.00547,0
2017H2,10020,嘉義市,76,49,105,0.666667,0.714286,0.0,0.004296,0.004923,0
2017H2,09007,連江,36,36,4,0.380952,0.095238,0.0,0.00454,0.006571,1
