period,origin,origin_name,dest,dest_name,delta_weight
2013H2,10015,花蓮,10018,新竹市,2
2013H2,10014,臺東,10005,苗栗,-1
2013H2,10002,宜蘭,10004,新竹縣,3
2013H2,63000,臺北,65000,新北,15
2013H2,10005,苗栗,64000,高雄,1
2013H2,10018,新竹市,10007,彰化,1
2013H2,63000,臺北,67000,臺南,1
2013H2,10008,南投,10007,彰化,-2
2013H2,68000,桃園,10017,基隆,-5
2013H2,65000,新北,63000,臺北,23
2013H2,67000,臺南,10005,苗栗,1
2013H2,67000,臺南,10008,南投,1
2013H2,10008,南投,10018,新竹市,-1
2013H2,10020,嘉義市,63000,臺北,1
2013H2,63000,臺北,10020,嘉義市,1
2013H2,10014,臺東,63000,臺北,1
2013H2,64000,高雄,09020,金門,2
2013H2,10005,苗栗,68000,桃園,10
2013H2,10002,宜蘭,68000,桃園,5
2013H2,68000,桃園,10004,新竹縣,24
2013H2,10013,屏東,10004,新竹縣,-1
2013H2,68000,桃園,66000,臺中,10
2013H2,10004,新竹縣,10015,花蓮,2
2013H2,65000,新北,10017,基隆,2
2013H2,63000,臺北,64000,高雄,1
2013H2,10015,花蓮,10017,基隆,-1
2013H2,67000,臺南,65000,新北,3
2013H2,67000,臺南,63000,臺北,1
2013H2,10018,新竹市,63000,臺北,2
2013H2,10004,新竹縣,09020,金門,1
2013H2,66000,臺中,67000,臺南,2
2013H2,65000,新北,10004,新竹縣,1
2013H2,10009,雲林,65000,新北,2
2013H2,65000,新北,66000,臺中,7
2013H2,10004,新竹縣,67000,臺南,2
2013H2,64000,高雄,10004,新竹縣,4
2013H2,10015,花蓮,10004,新竹縣,-3
2013H2,10005,苗栗,10008,南投,-3
2013H2,10007,彰化,09020,金門,1
2013H2,10002,宜蘭,10008,南投,2
2013H2,10014,臺東,66000,臺中,1
2013H2,10018,新竹市,10017,基隆,-1
2013H2,68000,桃園,10013,屏東,2
2013H2,10014,臺東,10002,宜蘭,1
2013H2,66000,臺中,64000,高雄,-1
2013H2,63000,臺北,10016,澎湖,1
2013H2,10017,基隆,65000,新北,7
2013H2,67000,臺南,66000,臺中,2
2013H2,10018,新竹市,10004,新竹縣,47
2013H2,10005,苗栗,63000,臺北,-3
2013H2,10002,宜蘭,65000,新北,18
2013H2,10018,新竹市,66000,臺中,2
2013H2,10008,南投,10004,新竹縣,3
2013H2,63000,臺北,10005,苗栗,-2
2013H2,67000,臺南,10002,宜蘭,2
2013H2,65000,新北,10013,屏東,-3
2013H2,10009,雲林,64000,高雄,-1
2013H2,10002,宜蘭,67000,臺南,-1
2013H2,10013,屏東,10005,苗栗,-1
2013H2,10013,屏東,10008,南投,2
2013H2,66000,臺中,68000,桃園,4
2013H2,10004,新竹縣,68000,桃園,7
2013H2,10004,新竹縣,09007,連江,-1
2013H2,10017,基隆,64000,高雄,-1
2013H2,10007,彰化,68000,桃園,-1
2013H2,63000,臺北,10010,嘉義縣,-1
2013H2,10002,宜蘭,64000,高雄,-5
2013H2,10005,苗栗,10009,雲林,1
2013H2,10008,南投,10013,屏東,-1
2013H2,65000,新北,10015,花蓮,6
2013H2,10004,新竹縣,10016,澎湖,1
2013H2,10005,苗栗,66000,臺中,8
2013H2,64000,高雄,10015,花蓮,-1
2013H2,66000,臺中,10005,苗栗,-6
2013H2,66000,臺中,10008,南投,8
2013H2,10005,苗栗,10002,宜蘭,-1
2013H2,10010,嘉義縣,10005,苗栗,-1
2013H2,10009,雲林,10007,彰化,-1
2013H2,10004,新竹縣,10005,苗栗,-6
2013H2,10004,新竹縣,10008,南投,1
2013H2,65000,新北,09020,金門,-1
2013H2,10009,雲林,10018,新竹市,-1
2013H2,10007,彰化,10008,南投,2
2013H2,65000,新北,67000,臺南,2
2013H2,10005,苗栗,10014,臺東,2
2013H2,64000,高雄,67000,臺南,2
2013H2,10015,花蓮,67000,臺南,-1
2013H2,68000,桃園,64000,高雄,10
2013H2,66000,臺中,65000,新北,6
2013H2,63000,臺北,66000,臺中,-4
2013H2,66000,臺中,63000,臺北,5
