period,total_pop,total_movers,migration_rate,n_nodes,n_edges,density,avg_clustering,modularity_Q,n_communities,z_modularity,freeman_indegree,freeman_outdegree,freeman_betweenness
2013H1,83406,25012,0.2999,22,368,0.7965,0.0208,0.1879,3,6.51,0.2132,0.2132,0.9486
2013H2,83932,25330,0.3018,22,367,0.7944,0.0204,0.188,3,6.49,0.2154,0.2154,0.944
2014H1,84350,25498,0.3023,22,367,0.7944,0.0199,0.1879,3,5.07,0.2154,0.2154,0.9457
2014H2,84964,25683,0.3023,22,367,0.7944,0.0196,0.1885,3,6.21,0.2154,0.2154,0.9491
2015H1,85615,26010,0.3038,22,370,0.8009,0.0189,0.1909,3,6.14,0.2086,0.2086,0.9486
2015H2,85764,25888,0.3019,22,371,0.803,0.0182,0.194,3,7.37,0.2063,0.2063,0.9572
2016H1,86236,26221,0.3041,22,373,0.8074,0.0176,0.1955,3,6.93,0.2018,0.2018,0.9603
2016H2,86709,26507,0.3057,22,373,0.8074,0.0172,0.1958,3,6.95,0.2018,0.2018,0.96
2017H1,87077,26656,0.3061,22,375,0.8117,0.0168,0.195,3,6.6,0.1973,0.1973,0.9588
2017H2,87581,26961,0.3078,22,377,0.816,0.0162,0.1943,3,6.83,0.1927,0.1927,0.9553
2018H1,87919,27178,0.3091,22,378,0.8182,0.0159,0.1935,3,6.87,0.1476,0.1905,0.9561
2018H2,88678,27441,0.3094,22,382,0.8268,0.0156,0.1943,3,6.64,0.1381,0.1814,0.9527
2019H1,88777,27615,0.3111,22,381,0.8247,0.0154,0.1954,3,7.82,0.1405,0.1837,0.9497
2019H2,89499,28018,0.3131,22,381,0.8247,0.015,0.1935,3,6.55,0.1837,0.1837,0.9545
2020H1,89779,28231,0.3144,22,381,0.8247,0.0147,0.1941,3,7.3,0.1837,0.1837,0.9573
2020H2,90106,28499,0.3163,22,385,0.8333,0.0146,0.1928,3,6.92,0.1746,0.1746,0.9605
2021H1,92362,29010,0.3141,22,390,0.8442,0.0143,0.1907,3,6.31,0.1633,0.1633,0.9621
2021H2,92723,29185,0.3148,22,391,0.8463,0.0141,0.1907,3,7.37,0.161,0.161,0.9635
2022H1,93051,29383,0.3158,22,390,0.8442,0.014,0.1905,3,6.96,0.1633,0.1633,0.9645
2022H2,93482,29531,0.3159,22,392,0.8485,0.0138,0.1909,3,5.86,0.1587,0.1587,0.9639
