period,total_pop,total_movers,migration_rate,n_nodes,n_edges,density,avg_clustering,modularity_Q,n_communities,z_modularity,sigma_sw,freeman_indegree_W,freeman_outdegree_W,freeman_betweenness,freeman_pagerank,top3_hub
2013H1,83406,25012,0.2999,22,368,0.7965,0.0208,0.1879,3,6.97,0.05,0.7718,0.7261,0.9486,0.7571,桃園(4318) | 新北(4206) | 新竹縣(3880)
2013H2,83932,25330,0.3018,22,367,0.7944,0.0204,0.188,3,6.36,0.049,0.7701,0.7283,0.944,0.7555,桃園(4347) | 新北(4290) | 新竹縣(3956)
2014H1,84350,25498,0.3023,22,367,0.7944,0.0199,0.1879,3,6.22,0.05,0.7666,0.7337,0.9457,0.7551,桃園(4321) | 新北(4299) | 新竹縣(4054)
2014H2,84964,25683,0.3023,22,367,0.7944,0.0196,0.1885,3,6.7,0.051,0.7648,0.7365,0.9491,0.7543,桃園(4324) | 新北(4295) | 新竹縣(4116)
2015H1,85615,26010,0.3038,22,370,0.8009,0.0189,0.1909,3,6.49,0.051,0.7636,0.736,0.9486,0.7546,桃園(4361) | 新北(4316) | 新竹縣(4204)
2015H2,85764,25888,0.3019,22,371,0.803,0.0182,0.194,3,6.85,0.051,0.7712,0.7248,0.9572,0.7612,桃園(4460) | 新竹縣(4247) | 新北(4170)
2016H1,86236,26221,0.3041,22,373,0.8074,0.0176,0.1955,3,6.9,0.049,0.7712,0.7247,0.9603,0.7617,桃園(4517) | 新竹縣(4338) | 新北(4212)
2016H2,86709,26507,0.3057,22,373,0.8074,0.0172,0.1958,3,6.99,0.051,0.7741,0.7183,0.96,0.7624,桃園(4615) | 新竹縣(4391) | 新北(4212)
2017H1,87077,26656,0.3061,22,375,0.8117,0.0168,0.195,3,6.65,0.05,0.7786,0.7159,0.9588,0.7657,桃園(4719) | 新竹縣(4415) | 新北(4210)
2017H2,87581,26961,0.3078,22,377,0.816,0.0162,0.1943,3,6.89,0.051,0.782,0.7115,0.9553,0.7671,桃園(4834) | 新竹縣(4468) | 新北(4221)
2018H1,87919,27178,0.3091,22,378,0.8182,0.0159,0.1935,3,7.36,0.051,0.7839,0.7109,0.9561,0.7683,桃園(4908) | 新竹縣(4531) | 新北(4221)
2018H2,88678,27441,0.3094,22,382,0.8268,0.0156,0.1943,3,7.47,0.051,0.7855,0.7058,0.9527,0.7682,桃園(4985) | 新竹縣(4603) | 新北(4174)
2019H1,88777,27615,0.3111,22,381,0.8247,0.0154,0.1954,3,7.06,0.052,0.7847,0.7028,0.9497,0.7674,桃園(5001) | 新竹縣(4667) | 新北(4186)
2019H2,89499,28018,0.3131,22,381,0.8247,0.015,0.1932,3,7.1,0.054,0.7885,0.6968,0.9545,0.7718,桃園(5148) | 新竹縣(4755) | 新北(4210)
2020H1,89779,28231,0.3144,22,381,0.8247,0.0147,0.1941,3,6.65,0.054,0.7879,0.6959,0.9573,0.772,桃園(5176) | 新竹縣(4810) | 新北(4256)
2020H2,90106,28499,0.3163,22,385,0.8333,0.0146,0.1928,3,6.86,0.053,0.7894,0.6946,0.9605,0.7726,桃園(5255) | 新竹縣(4844) | 新北(4275)
2021H1,92362,29010,0.3141,22,390,0.8442,0.0143,0.1908,3,8.83,0.051,0.7878,0.7108,0.9621,0.7735,桃園(5317) | 新竹縣(4994) | 新北(4346)
2021H2,92723,29185,0.3148,22,391,0.8463,0.0141,0.1904,3,6.72,0.051,0.7886,0.7107,0.9635,0.7732,桃園(5366) | 新竹縣(5021) | 新北(4329)
2022H1,93051,29383,0.3158,22,390,0.8442,0.014,0.1905,3,6.72,0.052,0.7868,0.7113,0.9645,0.7726,桃園(5364) | 新竹縣(5062) | 新北(4386)
2022H2,93482,29531,0.3159,22,392,0.8485,0.0138,0.1909,3,8.72,0.051,0.7853,0.7123,0.9639,0.7705,桃園(5360) | 新竹縣(5114) | 新北(4415)
