period,town_code,town_name,county_pref,county_name,is_mountain,total_pop,n_source_counties,diversity_entropy,gini_concentration,top1_src_county,top1_src_cnt,top2_src_county,top2_src_cnt,top3_src_county,top3_src_cnt
2013H1,6300009,臺北(T09),63000,臺北,0,140,13,1.8818,0.6044,臺北,60,宜蘭,20,花蓮,15
2013H1,6600020,臺中(T20),66000,臺中,0,49,8,1.1407,0.6607,臺中,34,南投,6,基隆,2
2013H1,1000412,尖石鄉,10004,新竹縣,1,7360,19,0.907,0.8848,新竹縣,5660,桃園,673,新竹市,643
2013H1,1000506,苗栗(T06),10005,苗栗,0,58,9,1.503,0.6015,苗栗,31,新竹縣,11,臺中,5
2013H1,1000406,新竹縣(T06),10004,新竹縣,0,154,11,1.6211,0.6222,新竹縣,83,新竹市,20,桃園,14
2013H1,1000401,新竹縣(T01),10004,新竹縣,0,248,13,1.5946,0.7035,新竹縣,124,新竹市,50,桃園,30
2013H1,6300012,臺北(T12),63000,臺北,0,198,13,2.0654,0.5214,臺北,71,新北,22,新竹縣,22
2013H1,1001801,新竹市(T01),10018,新竹市,0,447,16,1.7442,0.7076,新竹縣,168,新竹市,149,桃園,29
2013H1,1000403,新竹縣(T03),10004,新竹縣,0,69,9,1.67,0.5411,新竹縣,28,新竹市,15,桃園,12
2013H1,1000513,苗栗(T13),10005,苗栗,0,39,8,1.6209,0.5032,苗栗,18,臺中,6,新竹縣,5
2013H1,6500002,新北(T02),65000,新北,0,251,14,2.0728,0.5683,新北,60,臺北,49,桃園,36
2013H1,6600027,臺中(T27),66000,臺中,0,336,17,1.6941,0.7423,臺中,169,南投,65,苗栗,28
2013H1,6600023,臺中(T23),66000,臺中,0,50,10,1.7369,0.56,臺中,22,南投,9,新竹縣,6
2013H1,1000810,南投(T10),10008,南投,0,35,5,0.7558,0.64,南投,28,新竹縣,3,臺中,2
2013H1,6800013,復興區,68000,桃園,1,7077,20,0.5558,0.9113,桃園,6340,新竹縣,256,新北,131
2013H1,6600012,臺中(T12),66000,臺中,0,36,8,1.8568,0.3681,臺中,11,南投,7,宜蘭,5
2013H1,6800003,桃園(T03),68000,桃園,0,2985,19,0.7619,0.8858,桃園,2526,新竹縣,150,新北,79
