source_code,source_name,target_code,target_name,similarity,source_pop,target_pop,source_is_mountain,target_is_mountain
1000201,宜蘭市,1000202,羅東,0.9106,265,311,0,0
1000201,宜蘭市,1000203,蘇澳,0.9195,265,118,0,0
1000201,宜蘭市,1000204,頭城,0.8561,265,35,0,0
1000201,宜蘭市,1000205,礁溪,0.8649,265,69,0,0
1000201,宜蘭市,1000206,壯圍,0.8553,265,45,0,0
1000201,宜蘭市,1000207,員山,0.8082,265,120,0,0
1000201,宜蘭市,1000208,冬山,0.8458,265,183,0,0
1000201,宜蘭市,1000209,五結,0.8572,265,132,0,0
1000201,宜蘭市,1000210,三星,0.8508,265,141,0,0
1000201,宜蘭市,1000211,大同,0.8564,265,723,0,1
1000201,宜蘭市,1000212,南澳,0.8424,265,791,0,1
1000202,羅東,1000203,蘇澳,0.8754,311,118,0,0
1000202,羅東,1000204,頭城,0.8224,311,35,0,0
1000202,羅東,1000205,礁溪,0.8796,311,69,0,0
1000202,羅東,1000206,壯圍,0.8641,311,45,0,0
1000202,羅東,1000207,員山,0.8026,311,120,0,0
1000202,羅東,1000208,冬山,0.8620,311,183,0,0
1000202,羅東,1000209,五結,0.8683,311,132,0,0
1000202,羅東,1000210,三星,0.8285,311,141,0,0
1000202,羅東,1000211,大同,0.8572,311,723,0,1
1000202,羅東,1000212,南澳,0.8415,311,791,0,1
1000203,蘇澳,1000204,頭城,0.8785,118,35,0,0
1000203,蘇澳,1000205,礁溪,0.8854,118,69,0,0
1000203,蘇澳,1000206,壯圍,0.8742,118,45,0,0
1000203,蘇澳,1000207,員山,0.7938,118,120,0,0
1000203,蘇澳,1000208,冬山,0.8299,118,183,0,0
1000203,蘇澳,1000209,五結,0.8580,118,132,0,0
1000203,蘇澳,1000210,三星,0.8748,118,141,0,0
1000203,蘇澳,1000211,大同,0.8035,118,723,0,1
1000203,蘇澳,1000212,南澳,0.8241,118,791,0,1
1000204,頭城,1000205,礁溪,0.8733,35,69,0,0
1000204,頭城,1000206,壯圍,0.8063,35,45,0,0
1000204,頭城,1000207,員山,0.7988,35,120,0,0
1000204,頭城,1000208,冬山,0.8278,35,183,0,0
1000204,頭城,1000209,五結,0.8011,35,132,0,0
1000204,頭城,1000210,三星,0.7919,35,141,0,0
1000204,頭城,1000211,大同,0.7712,35,723,0,1
1000204,頭城,1000212,南澳,0.8314,35,791,0,1
1000205,礁溪,1000206,壯圍,0.8841,69,45,0,0
1000205,礁溪,1000207,員山,0.8293,69,120,0,0
1000205,礁溪,1000208,冬山,0.8629,69,183,0,0
1000205,礁溪,1000209,五結,0.8603,69,132,0,0
1000205,礁溪,1000210,三星,0.8245,69,141,0,0
1000205,礁溪,1000211,大同,0.7908,69,723,0,1
1000205,礁溪,1000212,南澳,0.8091,69,791,0,1
1000206,壯圍,1000207,員山,0.7861,45,120,0,0
1000206,壯圍,1000208,冬山,0.8525,45,183,0,0
1000206,壯圍,1000209,五結,0.8419,45,132,0,0
1000206,壯圍,1000210,三星,0.7910,45,141,0,0
1000206,壯圍,1000211,大同,0.7500,45,723,0,1
1000206,壯圍,1000212,南澳,0.7897,45,791,0,1
1000207,員山,1000208,冬山,0.8653,120,183,0,0
1000207,員山,1000209,五結,0.8629,120,132,0,0
1000207,員山,1000210,三星,0.8259,120,141,0,0
1000207,員山,1000211,大同,0.7158,120,723,0,1
1000207,員山,1000212,南澳,0.7305,120,791,0,1
1000208,冬山,1000209,五結,0.8820,183,132,0,0
1000208,冬山,1000210,三星,0.8246,183,141,0,0
1000208,冬山,1000211,大同,0.7842,183,723,0,1
1000208,冬山,1000212,南澳,0.7971,183,791,0,1
1000209,五結,1000210,三星,0.8436,132,141,0,0
1000209,五結,1000211,大同,0.7717,132,723,0,1
1000209,五結,1000212,南澳,0.7860,132,791,0,1
1000210,三星,1000211,大同,0.7684,141,723,0,1
1000210,三星,1000212,南澳,0.7504,141,791,0,1
1000211,大同,1000212,南澳,0.8814,723,791,1,1
1000211,大同,6300006,大同,0.6605,723,127,1,0
1000211,大同,6300008,文山,0.6629,723,281,1,0
1000401,竹北,1000402,竹東,0.8919,250,704,0,0
1000401,竹北,1000403,新埔,0.7674,250,56,0,0
1000401,竹北,1000405,湖口,0.8419,250,243,0,0
1000401,竹北,1000406,新豐,0.9088,250,143,0,0
1000401,竹北,1000407,芎林,0.7077,250,92,0,0
1000401,竹北,1000408,橫山,0.8097,250,106,0,0
1000401,竹北,1000409,北埔,0.6801,250,33,0,0
1000401,竹北,1000410,寶山,0.8305,250,37,0,0
1000401,竹北,1000412,尖石,0.8652,250,1006,0,1
1000401,竹北,1000413,五峰,0.7956,250,642,0,1
1000401,竹北,1001801,新竹東區(舊),0.8440,250,288,0,0
1000401,竹北,1001802,新竹北區(舊),0.8811,250,293,0,0
1000401,竹北,1001803,新竹香山(舊),0.8100,250,200,0,0
1000401,竹北,6800004,楊梅,0.6752,250,454,0,0
1000401,竹北,6800009,龍潭,0.6925,250,524,0,0
1000402,竹東,1000403,新埔,0.7603,704,56,0,0
1000402,竹東,1000404,關西,0.6829,704,203,0,0
1000402,竹東,1000405,湖口,0.8332,704,243,0,0
1000402,竹東,1000406,新豐,0.8761,704,143,0,0
1000402,竹東,1000407,芎林,0.7231,704,92,0,0
1000402,竹東,1000408,橫山,0.8424,704,106,0,0
1000402,竹東,1000409,北埔,0.7377,704,33,0,0
1000402,竹東,1000410,寶山,0.7819,704,37,0,0
